,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,TenureByAge,CreditScoreByAge,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male
2894,531,31,3,0.0,1,1,1,42589.33,0,0.0967741935483871,17.129032258064516,1,0,0,0,1
2927,632,32,6,111589.33,1,1,1,170382.99,0,0.1875,19.75,1,0,0,0,1
8178,707,46,7,127476.73,2,1,1,146011.55,0,0.15217391304347827,15.369565217391305,1,0,0,1,0
971,723,25,3,0.0,2,1,1,134509.47,0,0.12,28.92,1,0,0,0,1
6687,795,38,7,125903.22,2,1,1,127068.92,0,0.18421052631578946,20.92105263157895,0,1,0,0,1
8575,585,45,0,0.0,2,0,0,189683.7,0,0.0,13.0,0,0,1,0,1
2020,627,30,6,57809.32,1,1,0,188258.49,0,0.2,20.9,0,1,0,1,0
9054,546,30,5,0.0,2,0,1,198543.09,0,0.16666666666666666,18.2,1,0,0,1,0
952,571,66,9,111577.01,1,0,1,189271.9,0,0.13636363636363635,8.651515151515152,0,1,0,1,0
5359,684,42,1,117691.0,1,1,1,23135.65,1,0.023809523809523808,16.285714285714285,0,1,0,0,1
3857,636,45,7,139859.23,1,1,1,108402.54,0,0.15555555555555556,14.133333333333333,1,0,0,1,0
5861,562,48,3,92347.96,1,1,1,163116.75,0,0.0625,11.708333333333334,1,0,0,0,1
3145,482,48,2,69329.47,1,0,0,102640.52,1,0.041666666666666664,10.041666666666666,0,1,0,1,0
3305,786,62,8,0.0,1,1,1,165702.64,0,0.12903225806451613,12.67741935483871,1,0,0,1,0
3006,747,45,1,114959.12,1,1,0,189362.39,1,0.022222222222222223,16.6,1,0,0,1,0
9001,688,32,6,124179.3,1,1,1,138759.15,0,0.1875,21.5,0,0,1,0,1
7770,699,29,3,125689.29,1,1,1,151623.71,0,0.10344827586206896,24.103448275862068,1,0,0,0,1
7438,528,32,4,85615.66,2,1,0,156192.43,0,0.125,16.5,1,0,0,1,0
7942,542,42,1,0.0,1,1,1,178256.58,1,0.023809523809523808,12.904761904761905,1,0,0,1,0
9238,773,50,4,0.0,2,1,0,129372.94,0,0.08,15.46,1,0,0,1,0
1056,675,33,3,0.0,2,1,0,45348.08,0,0.09090909090909091,20.454545454545453,0,0,1,0,1
3154,652,51,7,0.0,2,0,1,43496.36,0,0.13725490196078433,12.784313725490197,1,0,0,0,1
3787,638,27,4,135096.05,1,1,1,186523.72,1,0.14814814814814814,23.62962962962963,0,1,0,0,1
9189,607,32,9,144272.07,2,1,0,176580.63,0,0.28125,18.96875,0,1,0,0,1
7825,594,23,4,104753.84,2,1,0,56756.52,1,0.17391304347826086,25.82608695652174,0,1,0,1,0
7539,755,42,2,119919.12,1,1,0,156868.21,0,0.047619047619047616,17.976190476190474,1,0,0,0,1
7231,555,40,10,139930.18,1,1,1,105720.09,0,0.25,13.875,1,0,0,0,1
764,710,43,2,140080.32,3,1,1,157908.19,1,0.046511627906976744,16.511627906976745,0,1,0,0,1
5019,823,53,4,124954.94,1,0,1,131259.6,1,0.07547169811320754,15.528301886792454,0,1,0,1,0
4903,694,42,3,156864.2,2,0,0,88890.75,0,0.07142857142857142,16.523809523809526,1,0,0,0,1
8093,584,47,5,0.0,2,1,0,89286.29,0,0.10638297872340426,12.425531914893616,1,0,0,0,1
6843,740,33,1,129574.98,1,1,1,123300.38,0,0.030303030303030304,22.424242424242426,1,0,0,0,1
2165,511,33,7,0.0,2,0,1,158313.87,0,0.21212121212121213,15.484848484848484,1,0,0,0,1
1862,481,44,9,175303.06,1,1,0,65500.53,1,0.20454545454545456,10.931818181818182,1,0,0,0,1
7850,488,36,0,0.0,2,1,0,136675.22,0,0.0,13.555555555555555,1,0,0,1,0
9123,718,33,7,102874.28,1,0,0,117841.06,0,0.21212121212121213,21.757575757575758,1,0,0,0,1
2340,523,41,0,119276.31,1,0,0,122284.38,1,0.0,12.75609756097561,0,1,0,0,1
5527,698,38,2,130015.24,1,1,1,41595.3,0,0.05263157894736842,18.36842105263158,1,0,0,0,1
6743,555,51,9,138214.5,1,1,0,198715.27,1,0.17647058823529413,10.882352941176471,0,1,0,1,0
4003,750,26,1,151510.17,2,1,1,19921.72,0,0.038461538461538464,28.846153846153847,1,0,0,1,0
1123,779,33,1,158456.76,1,1,1,197000.92,1,0.030303030303030304,23.606060606060606,0,1,0,0,1
8709,529,39,6,102025.08,2,1,0,12351.01,0,0.15384615384615385,13.564102564102564,1,0,0,0,1
4049,618,33,4,0.0,2,1,1,77550.18,0,0.12121212121212122,18.727272727272727,0,0,1,0,1
7640,790,34,2,164011.48,1,1,0,199420.41,0,0.058823529411764705,23.235294117647058,0,1,0,1,0
765,710,27,2,135277.96,1,1,0,142200.15,0,0.07407407407407407,26.296296296296298,0,0,1,1,0
2344,714,49,4,93059.34,1,1,0,7571.51,1,0.08163265306122448,14.571428571428571,0,1,0,1,0
4071,850,54,4,120952.74,1,1,0,66963.15,0,0.07407407407407407,15.74074074074074,0,0,1,1,0
7216,679,41,8,147726.98,3,1,0,172749.4,1,0.1951219512195122,16.5609756097561,1,0,0,0,1
4216,794,56,9,96951.21,1,1,1,71776.76,0,0.16071428571428573,14.178571428571429,1,0,0,0,1
7952,746,33,2,107868.14,2,1,1,146192.4,0,0.06060606060606061,22.606060606060606,0,1,0,1,0
5970,470,35,1,96473.59,1,0,0,5962.3,0,0.02857142857142857,13.428571428571429,1,0,0,0,1
3350,670,35,2,124268.64,2,0,1,84321.03,0,0.05714285714285714,19.142857142857142,0,0,1,0,1
4695,669,37,1,125529.55,1,1,1,162260.93,0,0.02702702702702703,18.08108108108108,1,0,0,0,1
3399,628,31,6,175443.75,1,1,0,113167.17,1,0.1935483870967742,20.258064516129032,1,0,0,1,0
4081,721,33,5,0.0,2,0,1,117626.9,0,0.15151515151515152,21.848484848484848,0,0,1,0,1
9149,597,43,7,119127.46,2,1,0,55809.92,0,0.16279069767441862,13.883720930232558,0,1,0,1,0
1224,500,47,8,128486.11,1,1,0,179227.12,0,0.1702127659574468,10.638297872340425,0,0,1,1,0
6292,494,33,1,137853.0,1,0,1,90273.85,0,0.030303030303030304,14.969696969696969,1,0,0,1,0
3122,676,29,4,140720.93,1,1,0,36221.18,0,0.13793103448275862,23.310344827586206,1,0,0,0,1
510,524,31,10,67238.98,2,1,1,161811.23,0,0.3225806451612903,16.903225806451612,0,1,0,1,0
5794,669,57,5,0.0,2,1,1,56875.76,0,0.08771929824561403,11.736842105263158,1,0,0,0,1
8181,598,28,8,129991.76,2,0,1,46041.08,0,0.2857142857142857,21.357142857142858,1,0,0,0,1
9417,577,33,6,0.0,2,1,0,57975.8,0,0.18181818181818182,17.484848484848484,0,0,1,1,0
96,773,41,9,102827.44,1,0,1,64595.25,0,0.21951219512195122,18.853658536585368,0,0,1,0,1
6681,602,31,7,155271.83,1,1,1,179446.31,0,0.22580645161290322,19.419354838709676,1,0,0,0,1
1512,656,39,10,0.0,2,1,1,98894.64,0,0.2564102564102564,16.82051282051282,1,0,0,0,1
8791,725,25,9,0.0,2,1,1,168607.74,0,0.36,29.0,1,0,0,1,0
119,699,34,4,185173.81,2,1,0,120834.48,0,0.11764705882352941,20.558823529411764,0,1,0,0,1
7791,584,31,6,152622.34,1,1,0,99298.8,0,0.1935483870967742,18.838709677419356,0,1,0,1,0
6517,628,51,9,155903.82,2,1,1,71159.84,0,0.17647058823529413,12.313725490196079,0,1,0,1,0
33,520,42,6,0.0,2,1,1,34410.55,0,0.14285714285714285,12.380952380952381,0,0,1,1,0
7887,716,30,2,205770.78,2,0,0,65464.66,0,0.06666666666666667,23.866666666666667,0,1,0,1,0
6830,765,43,9,157960.49,2,0,0,136602.8,0,0.20930232558139536,17.790697674418606,1,0,0,0,1
5421,589,39,7,0.0,2,0,0,95985.64,0,0.1794871794871795,15.102564102564102,1,0,0,1,0
1068,594,57,6,0.0,1,1,0,19376.56,1,0.10526315789473684,10.421052631578947,1,0,0,0,1
1347,521,37,2,0.0,2,1,1,86372.24,0,0.05405405405405406,14.08108108108108,1,0,0,0,1
4747,663,64,6,0.0,2,0,1,15876.52,0,0.09375,10.359375,0,0,1,0,1
6005,636,24,9,0.0,2,0,1,38830.72,0,0.375,26.5,1,0,0,1,0
6039,597,26,5,0.0,2,0,1,95159.13,0,0.19230769230769232,22.96153846153846,0,0,1,0,1
3817,682,29,6,101012.77,1,0,0,32589.89,1,0.20689655172413793,23.517241379310345,0,1,0,1,0
8446,691,33,6,0.0,2,1,0,164074.89,0,0.18181818181818182,20.939393939393938,1,0,0,1,0
5269,680,34,6,146422.22,1,1,0,67142.97,1,0.17647058823529413,20.0,0,1,0,0,1
6897,492,48,6,127253.98,1,1,1,92144.09,1,0.125,10.25,1,0,0,1,0
5309,684,36,5,174180.39,1,1,0,119830.08,0,0.1388888888888889,19.0,0,0,1,1,0
31,533,36,7,85311.7,1,0,1,156731.91,0,0.19444444444444445,14.805555555555555,1,0,0,0,1
5674,540,28,8,0.0,2,0,0,197588.32,0,0.2857142857142857,19.285714285714285,0,0,1,0,1
4386,783,42,2,139707.28,1,1,0,2150.22,0,0.047619047619047616,18.642857142857142,0,1,0,1,0
29,411,29,0,59697.17,2,1,1,53483.21,0,0.0,14.172413793103448,1,0,0,0,1
4202,526,30,9,0.0,2,0,0,100995.68,0,0.3,17.533333333333335,1,0,0,0,1
7507,576,44,9,119530.52,1,1,0,119056.68,1,0.20454545454545456,13.090909090909092,0,1,0,0,1
735,497,47,6,0.0,1,1,1,90055.08,0,0.1276595744680851,10.574468085106384,1,0,0,0,1
2067,744,31,9,120718.28,1,1,1,58961.49,0,0.2903225806451613,24.0,1,0,0,0,1
106,582,32,1,88938.62,1,1,1,10054.53,0,0.03125,18.1875,0,1,0,0,1
9644,452,35,8,0.0,2,1,1,149614.81,0,0.22857142857142856,12.914285714285715,1,0,0,1,0
8894,485,39,2,75339.64,1,1,1,70665.16,0,0.05128205128205128,12.435897435897436,1,0,0,1,0
8020,850,46,2,157866.77,1,1,1,18986.12,0,0.043478260869565216,18.47826086956522,1,0,0,1,0
2232,649,36,8,0.0,2,1,0,161668.15,0,0.2222222222222222,18.02777777777778,0,0,1,0,1
993,661,28,7,95357.49,1,0,0,102297.15,0,0.25,23.607142857142858,0,0,1,1,0
9412,725,26,6,98684.15,1,0,0,133720.57,0,0.23076923076923078,27.884615384615383,1,0,0,0,1
7058,624,71,4,170252.05,3,1,1,73679.59,1,0.056338028169014086,8.788732394366198,1,0,0,1,0
6789,668,46,0,0.0,2,0,0,29388.02,0,0.0,14.521739130434783,1,0,0,0,1
360,706,28,3,0.0,2,0,1,181543.67,0,0.10714285714285714,25.214285714285715,0,0,1,0,1
304,553,33,4,118082.89,1,0,0,94440.45,0,0.12121212121212122,16.757575757575758,1,0,0,0,1
2627,571,25,6,82506.72,2,1,0,167705.07,0,0.24,22.84,0,1,0,0,1
8965,477,58,8,145984.92,1,1,1,24564.7,0,0.13793103448275862,8.224137931034482,0,1,0,1,0
4513,696,41,8,0.0,2,0,0,28276.83,0,0.1951219512195122,16.975609756097562,1,0,0,1,0
5910,481,39,6,0.0,1,1,1,24677.54,0,0.15384615384615385,12.333333333333334,1,0,0,1,0
8313,639,38,3,0.0,1,1,0,42862.82,0,0.07894736842105263,16.81578947368421,1,0,0,0,1
3100,810,35,3,96814.46,2,1,1,120511.03,0,0.08571428571428572,23.142857142857142,0,1,0,0,1
5703,516,42,8,56228.25,1,1,0,46857.52,0,0.19047619047619047,12.285714285714286,1,0,0,1,0
3898,662,59,2,104568.41,1,1,0,8059.44,1,0.03389830508474576,11.220338983050848,0,1,0,0,1
5440,690,43,2,166522.78,1,0,0,119644.59,1,0.046511627906976744,16.046511627906977,0,1,0,0,1
7930,500,38,7,0.0,2,0,0,192013.23,0,0.18421052631578946,13.157894736842104,0,0,1,0,1
621,656,40,10,167878.5,1,0,1,151887.16,0,0.25,16.4,0,0,1,1,0
7235,697,35,5,133087.76,1,1,0,64771.61,0,0.14285714285714285,19.914285714285715,1,0,0,0,1
2498,718,37,8,0.0,2,1,1,142.81,0,0.21621621621621623,19.405405405405407,1,0,0,0,1
713,501,41,3,144260.5,1,1,0,172114.67,0,0.07317073170731707,12.21951219512195,1,0,0,1,0
8403,844,28,4,0.0,2,0,1,123318.37,0,0.14285714285714285,30.142857142857142,1,0,0,1,0
2855,710,75,5,0.0,2,1,1,9376.89,0,0.06666666666666667,9.466666666666667,0,0,1,1,0
4269,748,44,4,112610.77,1,0,1,2048.55,0,0.09090909090909091,17.0,1,0,0,0,1
2908,494,69,9,93320.8,1,1,1,24489.44,0,0.13043478260869565,7.159420289855072,1,0,0,0,1
8080,757,47,3,130747.1,1,1,0,143829.54,0,0.06382978723404255,16.106382978723403,1,0,0,0,1
4516,497,32,8,111537.23,4,1,1,9497.99,1,0.25,15.53125,0,1,0,1,0
1261,744,38,6,73023.17,2,1,0,78770.86,0,0.15789473684210525,19.57894736842105,0,1,0,0,1
3160,591,28,5,0.0,2,1,1,48606.92,0,0.17857142857142858,21.107142857142858,1,0,0,0,1
970,638,48,10,138333.03,1,1,1,47679.14,0,0.20833333333333334,13.291666666666666,1,0,0,1,0
3912,581,46,2,79385.21,2,0,0,188492.82,0,0.043478260869565216,12.630434782608695,0,0,1,0,1
5198,604,40,1,84315.02,1,0,0,36209.1,0,0.025,15.1,1,0,0,0,1
8846,571,53,2,0.0,2,1,0,28045.77,0,0.03773584905660377,10.773584905660377,1,0,0,1,0
259,850,38,3,54901.01,1,1,1,140075.55,0,0.07894736842105263,22.36842105263158,0,1,0,0,1
3790,596,54,0,78126.28,1,1,1,153482.91,1,0.0,11.037037037037036,0,0,1,1,0
9202,528,31,9,120962.59,1,1,0,5419.31,0,0.2903225806451613,17.032258064516128,1,0,0,0,1
487,542,39,3,135096.77,1,1,1,14353.43,1,0.07692307692307693,13.897435897435898,1,0,0,0,1
7907,683,39,2,47685.47,2,1,1,86019.48,0,0.05128205128205128,17.512820512820515,0,1,0,1,0
518,698,48,4,101238.24,2,0,1,177815.87,1,0.08333333333333333,14.541666666666666,1,0,0,0,1
8342,655,34,3,0.0,2,1,0,159638.77,0,0.08823529411764706,19.264705882352942,1,0,0,1,0
311,729,30,6,63669.42,1,1,0,145111.37,0,0.2,24.3,0,1,0,0,1
3231,646,36,6,124445.52,1,1,0,88481.32,0,0.16666666666666666,17.944444444444443,1,0,0,0,1
7932,850,40,8,102800.65,1,1,0,60811.56,0,0.2,21.25,1,0,0,0,1
7457,665,43,2,116322.27,4,1,0,35640.12,1,0.046511627906976744,15.465116279069768,0,1,0,1,0
9783,601,49,4,96252.98,2,1,0,104263.82,0,0.08163265306122448,12.26530612244898,0,1,0,1,0
5183,694,38,1,0.0,2,0,1,156858.2,0,0.02631578947368421,18.263157894736842,1,0,0,0,1
8076,732,36,9,0.0,1,0,0,3749.0,1,0.25,20.333333333333332,1,0,0,1,0
6501,679,30,9,0.0,2,1,0,157871.55,0,0.3,22.633333333333333,1,0,0,0,1
6790,487,40,6,136093.74,1,0,1,193408.43,0,0.15,12.175,0,0,1,1,0
7772,792,50,4,146710.76,1,1,0,16528.4,1,0.08,15.84,0,1,0,1,0
2737,472,31,4,58662.92,2,0,1,73322.0,0,0.12903225806451613,15.225806451612904,1,0,0,0,1
7841,706,46,7,111288.18,1,1,1,149170.25,1,0.15217391304347827,15.347826086956522,0,1,0,1,0
6261,708,35,8,122570.69,1,0,0,199005.88,0,0.22857142857142856,20.228571428571428,0,0,1,1,0
8205,477,39,4,182491.57,1,1,0,185830.72,0,0.10256410256410256,12.23076923076923,0,1,0,1,0
1247,512,24,6,0.0,2,1,0,37654.31,0,0.25,21.333333333333332,1,0,0,0,1
9335,737,50,4,127552.85,2,1,0,4225.11,0,0.08,14.74,0,1,0,0,1
4194,572,54,9,97382.53,1,1,1,195771.95,0,0.16666666666666666,10.592592592592593,0,1,0,1,0
8000,747,36,8,102603.3,2,1,1,180693.61,0,0.2222222222222222,20.75,0,1,0,0,1
7377,691,40,0,115465.98,1,1,1,60622.61,0,0.0,17.275,1,0,0,1,0
3434,692,66,4,159732.02,1,1,1,118188.15,0,0.06060606060606061,10.484848484848484,1,0,0,0,1
5381,850,32,9,141827.33,2,1,1,149458.73,0,0.28125,26.5625,0,1,0,0,1
958,531,27,8,132576.25,1,0,0,7222.92,0,0.2962962962962963,19.666666666666668,0,0,1,0,1
416,487,61,5,110368.03,1,0,0,11384.45,1,0.08196721311475409,7.983606557377049,0,1,0,1,0
5741,709,42,9,118546.71,1,0,1,77142.85,0,0.21428571428571427,16.88095238095238,1,0,0,0,1
6727,745,36,9,0.0,1,1,0,19605.18,1,0.25,20.694444444444443,1,0,0,1,0
4381,492,39,7,0.0,2,0,1,71323.23,0,0.1794871794871795,12.615384615384615,1,0,0,0,1
5196,719,22,7,114415.84,1,1,1,177497.4,0,0.3181818181818182,32.68181818181818,1,0,0,1,0
1112,690,42,3,92578.14,2,0,0,70810.6,0,0.07142857142857142,16.428571428571427,1,0,0,1,0
2688,558,32,4,108235.91,1,1,1,143783.28,0,0.125,17.4375,0,1,0,0,1
6472,651,34,10,148962.46,1,1,0,66389.43,1,0.29411764705882354,19.147058823529413,0,1,0,1,0
8819,592,36,10,123187.51,1,0,1,146111.35,0,0.2777777777777778,16.444444444444443,0,1,0,0,1
7807,608,34,3,106288.54,1,1,1,36639.25,0,0.08823529411764706,17.88235294117647,0,1,0,0,1
3410,430,36,1,138992.48,2,0,0,122373.42,0,0.027777777777777776,11.944444444444445,0,1,0,0,1
80,665,34,1,96645.54,2,0,0,171413.66,0,0.029411764705882353,19.558823529411764,1,0,0,1,0
4613,745,46,7,0.0,2,1,1,67769.94,0,0.15217391304347827,16.195652173913043,1,0,0,1,0
1373,528,46,9,135555.66,1,1,0,133146.03,1,0.1956521739130435,11.478260869565217,0,1,0,1,0
1509,528,37,6,103772.45,1,1,0,197111.99,0,0.16216216216216217,14.27027027027027,1,0,0,0,1
6442,491,33,5,83134.3,1,1,0,187946.55,0,0.15151515151515152,14.878787878787879,1,0,0,0,1
3070,674,32,2,0.0,2,1,0,140579.17,0,0.0625,21.0625,0,0,1,0,1
3015,674,43,8,85957.88,2,1,0,8757.39,0,0.18604651162790697,15.674418604651162,0,1,0,0,1
4822,745,32,2,0.0,4,0,1,179705.13,1,0.0625,23.28125,1,0,0,1,0
7821,777,28,2,134571.5,1,0,1,118313.38,0,0.07142857142857142,27.75,1,0,0,1,0
92,524,36,10,0.0,2,1,0,109614.57,0,0.2777777777777778,14.555555555555555,1,0,0,1,0
9420,657,28,7,0.0,2,0,1,5177.62,0,0.25,23.464285714285715,1,0,0,1,0
6599,850,49,6,128663.9,1,1,0,65769.3,1,0.12244897959183673,17.346938775510203,1,0,0,0,1
4442,676,38,1,0.0,2,0,1,35644.79,0,0.02631578947368421,17.789473684210527,1,0,0,0,1
7601,828,31,9,0.0,1,0,1,164257.37,0,0.2903225806451613,26.70967741935484,1,0,0,0,1
3834,734,39,6,92126.26,2,0,0,112973.34,0,0.15384615384615385,18.82051282051282,0,0,1,1,0
9701,678,38,3,124483.53,1,1,0,126253.31,0,0.07894736842105263,17.842105263157894,0,0,1,0,1
4321,651,34,4,91562.99,1,1,1,123954.15,0,0.11764705882352941,19.147058823529413,1,0,0,0,1
3393,710,30,6,0.0,2,1,1,8991.17,0,0.2,23.666666666666668,1,0,0,0,1
4751,661,64,8,128751.65,2,1,0,189398.18,1,0.125,10.328125,0,1,0,1,0
7228,539,47,2,127286.04,2,1,1,166929.43,1,0.0425531914893617,11.46808510638298,1,0,0,1,0
9190,646,46,8,0.0,2,1,0,133059.15,0,0.17391304347826086,14.043478260869565,1,0,0,1,0
2360,518,41,5,110624.99,1,1,0,89327.67,0,0.12195121951219512,12.634146341463415,0,1,0,1,0
1147,593,29,5,101713.84,3,1,0,134594.99,0,0.1724137931034483,20.448275862068964,0,1,0,1,0
5665,559,33,9,111060.05,2,1,0,110371.84,0,0.2727272727272727,16.939393939393938,1,0,0,0,1
